"dt_high","high","dt_low","low"
"-157600800","1829",-157665600,518
"-157510800","1829",-157575600,427
"-157507200","1768",-157489200,457
"-157420800","1768",-157399200,396
"-157334400","1768",-157309200,457
"-157244400","1676",-157219200,366
"-157158000","1585",-157132800,366
"-157068000","1463",-157042800,366
"-156978000","1463",-156952800,457
"-156888000","1463",-156866400,488
"-156751200","1646",-156776400,457
"-156661200","1676",-156686400,427
"-156571200","1798",-156596400,366
"-156481200","1890",-156546000,274
"-156391200","1920",-156456000,122
"-156304800","1920",-156369600,0
"-156214800","1951",-156279600,-30
"-156211200","1951",-156189600,0
"-156124800","1981",-156099600,91
"-156034800","1829",-156009600,213
"-155944800","1676",-155923200,244
"-155858400","1463",-155833200,396
"-155768400","1341",-155743200,457
"-155631600","1402",-155656800,549
"-155541600","1433",-155566800,549
"-155451600","1463",-155476800,549
"-155361600","1524",-155426400,518
"-155271600","1615",-155336400,488
"-155181600","1585",-155250000,457
"-155095200","1615",-155160000,274
"-155005200","1615",-155070000,244
"-154918800","1615",-154983600,213
"-154915200","1585",-154893600,244
"-154828800","1585",-154807200,213
"-154742400","1585",-154717200,244
"-154652400","1463",-154630800,244
"-154562400","1463",-154540800,366
"-154429200","1433",-154450800,396
"-154339200","1463",-154360800,457
"-154249200","1585",-154270800,549
"-154159200","1737",-154224000,549
"-154069200","1768",-154134000,488
"-153975600","1829",-154044000,213
"-153889200","1829",-153954000,91
"-153799200","1859",-153864000,-30
"-153709200","1859",-153774000,-61
"-153705600","1798",-153684000,-61
"-153619200","1798",-153597600,91
"-153529200","1707",-153507600,213
"-153442800","1585",-153417600,366
"-153306000","1554",-153331200,549
"-153216000","1494",-153241200,610
"-153129600","1463",-153151200,701
"-153039600","1372",-153061200,671
"-152946000","1463",-153010800,579
"-152859600","1524",-152924400,610
"-152769600","1524",-152830800,518
"-152679600","1494",-152744400,366
"-152589600","1494",-152658000,244
"-152503200","1615",-152568000,213
"-152413200","1646",-152478000,244
"-152326800","1585",-152391600,213
"-152323200","1585",-152301600,274
"-152236800","1585",-152215200,213
"-152103600","1524",-152125200,274
"-152013600","1615",-152035200,457
"-151923600","1524",-151902000,457
"-151833600","1615",-151858800,549
"-151743600","1676",-151804800,610
"-151653600","1676",-151718400,549
"-151563600","1829",-151628400,457
"-151473600","1890",-151538400,335
"-151383600","1981",-151448400,244
"-151293600","1951",-151358400,183
"-151203600","1798",-151272000,183
"-151200000","1646",-151182000,152
"-151113600","1585",-151092000,152
"-150980400","1585",-151005600,305
"-150894000","1554",-150915600,427
"-150804000","1585",-150829200,579
"-150717600","1463",-150688800,610
"-150624000","1402",-150598800,610
"-150534000","1372",-150595200,671
"-150444000","1372",-150508800,610
"-150354000","1494",-150418800,549
"-150264000","1524",-150332400,610
"-150177600","1585",-150242400,457
"-150087600","1615",-150152400,457
"-149997600","1646",-150062400,274
"-149911200","1707",-149976000,366
"-149864400","1615",-149886000,305
"-149778000","1768",-149799600,335
"-149688000","1737",-149666400,335
"-149598000","1707",-149576400,335
"-149508000","1676",-149486400,335
"-149418000","1646",-149396400,396
"-149331600","1615",-149302800,366
"-149238000","1554",-149216400,366
"-149148000","1615",-149212800,305
"-149058000","1707",-149122800,274
"-148968000","1768",-149032800,274
"-148878000","1829",-148946400,274
"-148834800","1707",-148856400,305
"-148744800","1768",-148766400,335
"-148654800","1737",-148680000,274
"-148568400","1768",-148543200,335
"-148478400","1707",-148456800,366
"-148388400","1676",-148366800,457
"-148302000","1615",-148276800,518
"-148212000","1554",-148190400,610
"-148122000","1524",-148096800,640
"-148032000","1402",-148006800,579
"-147942000","1341",-147920400,549
"-147852000","1341",-147916800,518
"-147762000","1402",-147826800,396
"-147672000","1463",-147740400,366
"-147582000","1402",-147650400,305
"-147538800","1494",-147560400,213
"-147448800","1585",-147474000,213
"-147362400","1676",-147337200,152
"-147272400","1707",-147250800,91
"-147182400","1676",-147160800,61
"-147096000","1646",-147070800,91
"-147006000","1615",-146980800,152
"-146916000","1585",-146890800,213
"-146826000","1494",-146800800,213
"-146736000","1402",-146710800,213
"-146642400","1463",-146707200,152
"-146552400","1494",-146620800,213
"-146462400","1494",-146530800,244
"-146419200","1494",-146440800,244
"-146329200","1646",-146354400,305
"-146239200","1798",-146217600,366
"-146152800","1768",-146127600,335
"-146062800","1737",-146037600,366
"-145972800","1737",-145951200,427
"-145886400","1737",-145861200,457
"-145796400","1676",-145771200,457
"-145710000","1615",-145684800,549
"-145620000","1585",-145594800,610
"-145530000","1585",-145504800,640
"-145440000","1433",-145414800,518
"-145350000","1463",-145411200,579
"-145260000","1494",-145324800,549
"-145170000","1494",-145234800,518
"-145123200","1646",-145148400,457
"-145036800","1737",-145011600,457
"-144946800","1829",-144968400,396
"-144856800","2042",-144831600,427
"-144766800","2073",-144745200,274
"-144680400","2073",-144655200,305
"-144590400","2134",-144565200,335
"-144500400","2042",-144475200,305
"-144410400","1981",-144385200,366
"-144320400","1798",-144295200,335
"-144230400","1646",-144205200,366
"-144140400","1585",-144201600,427
"-144050400","1524",-144115200,396
"-144003600","1676",-144025200,518
"-143913600","1646",-143935200,457
"-143827200","1829",-143802000,549
"-143737200","1768",-143712000,457
"-143647200","1798",-143622000,396
"-143560800","1707",-143535600,335
"-143470800","1676",-143445600,335
"-143380800","1646",-143359200,366
"-143294400","1615",-143269200,396
"-143204400","1585",-143179200,457
"-143118000","1585",-143089200,518
"-143024400","1585",-143002800,640
"-142938000","1646",-142912800,701
"-142844400","1737",-142822800,823
"-142801200","1646",-142736400,640
"-142711200","1554",-142650000,579
"-142621200","1524",-142642800,427
"-142531200","1646",-142506000,305
"-142444800","1646",-142419600,152
"-142354800","1768",-142329600,30
"-142264800","1798",-142239600,-30
"-142174800","1859",-142149600,-61
"-142084800","1859",-142059600,61
"-141994800","1859",-141969600,122
"-141904800","1768",-141879600,213
"-141814800","1585",-141789600,244
"-141724800","1494",-141703200,366
"-141678000","1433",-141613200,396
"-141588000","1433",-141609600,396
"-141501600","1463",-141523200,457
"-141411600","1585",-141433200,518
"-141321600","1676",-141296400,457
"-141231600","1707",-141206400,427
"-141145200","1676",-141120000,366
"-141055200","1707",-141030000,366
"-140965200","1707",-140940000,335
"-140878800","1615",-140853600,335
"-140788800","1707",-140767200,427
"-140698800","1676",-140724000,549
"-140612400","1615",-140587200,396
"-140522400","1463",-140500800,396
"-140432400","1402",-140410800,457
"-140385600","1341",-140320800,518
"-140299200","1433",-140230800,549
"-140209200","1524",-140144400,549
"-140119200","1615",-140140800,518
"-140029200","1798",-140004000,366
"-139939200","1859",-139914000,244
"-139849200","1981",-139824000,122
"-139759200","1951",-139734000,0
"-139669200","1951",-139644000,-61
"-139579200","1890",-139554000,-61
"-139489200","1768",-139467600,61
"-139402800","1615",-139377600,152
"-139312800","1433",-139287600,244
"-139266000","1372",-139201200,366
"-139176000","1372",-139111200,457
"-139086000","1372",-139060800,518
"-138996000","1433",-138974400,549
"-138906000","1463",-138880800,518
"-138816000","1524",-138794400,427
"-138729600","1524",-138704400,335
"-138639600","1646",-138614400,366
"-138549600","1646",-138528000,305
"-138463200","1615",-138438000,274
"-138373200","1615",-138351600,244
"-138286800","1554",-138261600,213
"-138196800","1585",-138171600,305
"-138106800","1494",-138085200,335
"-138020400","1463",-137995200,396
"-137973600","1433",-137908800,488
"-137883600","1494",-137818800,579
"-137793600","1524",-137728800,549
"-137703600","1585",-137678400,579
"-137613600","1676",-137588400,488
"-137523600","1768",-137498400,335
"-137433600","1890",-137408400,274
"-137343600","1981",-137318400,61
"-137253600","1890",-137232000,-61
"-137163600","1829",-137142000,-91
"-137077200","1676",-137052000,-91
"-136987200","1524",-136962000,0
"-136897200","1402",-136918800,152
"-136850400","1372",-136828800,274
"-136764000","1402",-136738800,457
"-136674000","1341",-136648800,488
"-136584000","1311",-136558800,488
"-136494000","1311",-136465200,427
"-136400400","1311",-136378800,427
"-136314000","1463",-136288800,457
"-136224000","1585",-136198800,488
"-136134000","1676",-136112400,396
"-136047600","1615",-136022400,366
"-135957600","1798",-135932400,427
"-135871200","1646",-135846000,244
"-135781200","1646",-135759600,305
"-135691200","1585",-135669600,305
"-135648000","1524",-135626400,396
"-135558000","1585",-135493200,488
"-135471600","1615",-135446400,457
"-135381600","1554",-135356400,488
"-135291600","1585",-135266400,518
"-135201600","1463",-135172800,366
"-135108000","1524",-135082800,305
"-135018000","1676",-134992800,244
"-134928000","1707",-134902800,91
"-134838000","1798",-134816400,30
"-134748000","1798",-134726400,61
"-134658000","1829",-134636400,122
"-134571600","1768",-134593200,213
"-134524800","1707",-134503200,274
"-134438400","1646",-134416800,305
"-134348400","1615",-134326800,427
"-134258400","1585",-134236800,549
"-134172000","1585",-134146800,610
"-134082000","1494",-134056800,671
"-133992000","1463",-133963200,579
"-133898400","1372",-133873200,518
"-133808400","1402",-133786800,396
"-133722000","1311",-133696800,244
"-133632000","1372",-133606800,213
"-133542000","1524",-133520400,305
"-133455600","1463",-133430400,152
"-133322400","1494",-133387200,152
"-133232400","1554",-133254000,152
"-133146000","1524",-133210800,122
"-133142400","1554",-133120800,152
"-133056000","1554",-133030800,183
"-132966000","1585",-132944400,244
"-132876000","1524",-132850800,274
"-132786000","1554",-132760800,396
"-132696000","1707",-132670800,488
"-132602400","1646",-132580800,366
"-132516000","1646",-132490800,213
"-132426000","1585",-132400800,91
"-132332400","1615",-132310800,61
"-132199200","1615",-132224400,91
"-132112800","1676",-132177600,122
"-132022800","1707",-132087600,122
"-132019200","1646",-132001200,244
"-131932800","1615",-131911200,152
"-131846400","1524",-131821200,213
"-131756400","1494",-131731200,305
"-131666400","1433",-131644800,427
"-131580000","1402",-131554800,549
"-131490000","1311",-131461200,518
"-131396400","1372",-131374800,518
"-131306400","1311",-131284800,396
"-131169600","1402",-131194800,457
"-131126400","1463",-131108400,457
"-130993200","1524",-131018400,305
"-130906800","1615",-130928400,305
"-130816800","1768",-130881600,305
"-130726800","1798",-130795200,244
"-130640400","1890",-130705200,152
"-130636800","1859",-130615200,274
"-130550400","1798",-130525200,152
"-130460400","1768",-130435200,152
"-130370400","1646",-130345200,183
"-130280400","1615",-130255200,213
"-130190400","1646",-130165200,305
"-130100400","1554",-130075200,305
"-130010400","1615",-129985200,274
"-129873600","1615",-129895200,274
"-129783600","1646",-129808800,305
"-129697200","1646",-129762000,213
"-129607200","1676",-129672000,152
"-129517200","1707",-129585600,152
"-129430800","1707",-129495600,274
"-129427200","1585",-129405600,152
"-129340800","1615",-129315600,274
"-129254400","1585",-129229200,335
"-129164400","1494",-129139200,366
"-129074400","1433",-129049200,396
"-128988000","1280",-128959200,396
"-128898000","1250",-128869200,427
"-128808000","1250",-128779200,366
"-128667600","1280",-128692800,305
"-128581200","1402",-128602800,305
"-128491200","1524",-128516400,305
"-128401200","1585",-128426400,274
"-128314800","1676",-128379600,183
"-128224800","1707",-128289600,61
